uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,HOSPITAL,"< 9",F,2
AC,OUTRAS,HOSPITAL,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,1
AC,SEPTICEMIA,HOSPITAL,"< 9",M,3
AL,OUTRAS,DOMICILIO,"< 9",F,1
AL,OUTRAS,HOSPITAL,"< 9",F,5
AL,OUTRAS,HOSPITAL,"< 9",M,2
AL,COVID,HOSPITAL,"< 9",M,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,4
AL,SEPTICEMIA,HOSPITAL,"< 9",M,1
AM,OUTRAS,HOSPITAL,"< 9",F,5
AM,OUTRAS,HOSPITAL,"< 9",M,14
AM,COVID,HOSPITAL,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
AM,PNEUMONIA,HOSPITAL,"< 9",F,2
AM,PNEUMONIA,HOSPITAL,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,5
AM,SEPTICEMIA,HOSPITAL,"< 9",M,9
AM,SRAG,HOSPITAL,"< 9",M,2
AP,OUTRAS,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,2
BA,OUTRAS,DOMICILIO,"< 9",M,1
BA,OUTRAS,HOSPITAL,"< 9",F,8
BA,OUTRAS,HOSPITAL,"< 9",I,1
BA,OUTRAS,HOSPITAL,"< 9",M,13
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,COVID,HOSPITAL,"< 9",F,1
BA,COVID,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
BA,PNEUMONIA,HOSPITAL,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,4
BA,SEPTICEMIA,HOSPITAL,"< 9",M,4
CE,OUTRAS,HOSPITAL,"< 9",F,11
CE,OUTRAS,HOSPITAL,"< 9",M,16
CE,OUTRAS,IGNORADO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,2
CE,SEPTICEMIA,HOSPITAL,"< 9",M,5
DF,OUTRAS,HOSPITAL,"< 9",F,6
